source,airline,flight_code,departure,arrival,duration,stops,price,timestamp
Cleartrip,Air India,AI-2437,22:30,08:15,9h 45m,1 stop,10162,2025-12-28T23:51:09.384272
Cleartrip,Air India,AI-2999,22:00,08:15,10h 15m,1 stop,10162,2025-12-28T23:51:09.443654
Cleartrip,IndiGo,6E-6776,15:30,20:25,4h 55m,1 stop,10224,2025-12-28T23:51:09.510011
Cleartrip,IndiGo,6E-247,14:00,19:15,5h 15m,1 stop,10224,2025-12-28T23:51:09.567488
Cleartrip,IndiGo,6E-6643,18:05,23:25,5h 20m,1 stop,10224,2025-12-28T23:51:09.629218
Cleartrip,IndiGo,6E-6624,16:15,21:40,5h 25m,1 stop,10224,2025-12-28T23:51:09.684704
Cleartrip,Air India,AI-2933,15:30,01:20,9h 50m,1 stop,10268,2025-12-28T23:51:09.743919
Cleartrip,Air India,AI-2439,23:00,11:00,,1 stop,10469,2025-12-28T23:51:09.802317
Cleartrip,Air India,AI-2437,22:30,11:00,12h 30m,1 stop,10469,2025-12-28T23:51:09.859506
Cleartrip,Air India,AI-2999,22:00,11:00,,1 stop,10469,2025-12-28T23:51:09.919601
Cleartrip,Air India,AI-2957,20:30,11:00,14h 30m,1 stop,10469,2025-12-28T23:51:09.978995
Cleartrip,Air India,AI-2985,19:40,11:00,15h 20m,1 stop,10469,2025-12-28T23:51:10.038181
Cleartrip,Air India,AI-2933,15:30,20:30,,1 stop,10518,2025-12-28T23:51:10.098151
Cleartrip,Air India,AI-2571,05:45,10:50,5h 5m,1 stop,10676,2025-12-28T23:51:10.154671
Cleartrip,Akasa Air,QP-1809,18:10,00:45,6h 35m,1 stop,10875,2025-12-28T23:51:10.216695
Cleartrip,Akasa Air,QP-1608,15:00,00:45,9h 45m,1 stop,10875,2025-12-28T23:51:10.277921
Cleartrip,Air India,AI-9461,15:00,01:20,10h 20m,1 stop,10922,2025-12-28T23:51:10.336932
Cleartrip,Air India,AI-9461,15:00,07:40,16h 40m,1 stop,10922,2025-12-28T23:51:10.397729
Cleartrip,Air India,AI-9461,15:00,08:15,17h 15m,1 stop,10922,2025-12-28T23:51:10.458389
Cleartrip,Air India,AI-2833,07:30,13:40,6h 10m,1 stop,10973,2025-12-28T23:51:10.515933
Cleartrip,Air India,AI-2525,06:10,13:40,7h 30m,1 stop,10973,2025-12-28T23:51:10.578490
Cleartrip,Air India,AI-9484,20:10,01:20,5h 10m,1 stop,11018,2025-12-28T23:51:10.640789
Cleartrip,Air India,AI-2425,10:30,17:20,6h 50m,1 stop,11075,2025-12-28T23:51:10.693846
Cleartrip,Air India Express,IX-1069,17:10,01:25,8h 15m,1 stop,11075,2025-12-28T23:51:10.751938
Cleartrip,Air India,AI-2425,10:30,19:25,8h 55m,1 stop,11075,2025-12-28T23:51:10.811090
Cleartrip,Air India,AI-2425,10:30,20:30,,1 stop,11075,2025-12-28T23:51:10.865523
Cleartrip,Air India,AI-2963,09:00,19:25,10h 25m,1 stop,11075,2025-12-28T23:51:10.932416
Cleartrip,IndiGo,6E-2172,13:15,19:35,6h 20m,1 stop,11185,2025-12-28T23:51:10.988257
Cleartrip,Air India,AI-2833,07:30,18:15,10h 45m,1 stop,11234,2025-12-28T23:51:11.045606
Cleartrip,Air India,AI-2417,13:00,15:55,2h 55m,Non-stop,11277,2025-12-28T23:51:11.105623
Cleartrip,Air India,AI-2941,16:30,01:20,8h 50m,1 stop,11296,2025-12-28T23:51:11.162329
Cleartrip,IndiGo,6E-6718,07:10,12:20,5h 10m,1 stop,11310,2025-12-28T23:51:11.221836
Cleartrip,Air India,AI-2513,06:10,14:05,7h 55m,1 stop,11533,2025-12-28T23:51:11.282155
Cleartrip,Air India,AI-2542,09:40,20:55,11h 15m,1 stop,11533,2025-12-28T23:51:11.343660
Cleartrip,IndiGo,6E-190,17:30,22:40,5h 10m,1 stop,11590,2025-12-28T23:51:11.401489
Cleartrip,IndiGo,6E-6724,14:30,20:10,5h 40m,1 stop,11590,2025-12-28T23:51:11.461999
Cleartrip,IndiGo,6E-6828,02:30,08:15,5h 45m,1 stop,11590,2025-12-28T23:51:11.522168
Cleartrip,IndiGo,6E-434,12:20,17:55,5h 35m,1 stop,11605,2025-12-28T23:51:11.581991
Cleartrip,Air India,AI-2885,02:10,09:00,6h 50m,1 stop,11622,2025-12-28T23:51:11.643686
Cleartrip,Air India,AI-2483,12:10,20:45,8h 35m,1 stop,11622,2025-12-28T23:51:11.699043
Cleartrip,Air India,AI-2467,09:55,20:45,10h 50m,1 stop,11622,2025-12-28T23:51:11.757835
Cleartrip,Air India,AI-544,16:10,20:55,4h 45m,1 stop,11624,2025-12-28T23:51:11.814353
Cleartrip,Air India,AI-2560,07:10,14:05,6h 55m,1 stop,11624,2025-12-28T23:51:11.873852
Cleartrip,Air India,AI-2899,12:30,20:55,8h 25m,1 stop,11624,2025-12-28T23:51:11.930568
Cleartrip,SpiceJet,SG-664,15:40,03:40,,1 stop,11695,2025-12-28T23:51:11.989274
Cleartrip,Air India,AI-2483,12:10,18:15,6h 5m,1 stop,11883,2025-12-28T23:51:12.047738
Cleartrip,Air India,AI-415,06:20,12:05,5h 45m,1 stop,11884,2025-12-28T23:51:12.107405
Cleartrip,Air India Express,IX-2964,14:45,17:40,2h 55m,Non-stop,12421,2025-12-28T23:51:12.164806
Cleartrip,Air India,AI-1785,12:00,17:20,5h 20m,1 stop,12459,2025-12-28T23:51:12.222812
Cleartrip,Air India,AI-2441,14:00,19:25,5h 25m,1 stop,12459,2025-12-28T23:51:12.288149
Cleartrip,Air India,AI-2941,16:30,22:15,5h 45m,1 stop,12459,2025-12-28T23:51:12.358251
Cleartrip,Air India,AI-2951,13:20,19:25,6h 5m,1 stop,12459,2025-12-28T23:51:12.425183
Cleartrip,Air India,AI-2945,11:00,17:20,6h 20m,1 stop,12459,2025-12-28T23:51:12.481154
Cleartrip,Air India,AI-2441,14:00,20:30,6h 30m,1 stop,12459,2025-12-28T23:51:12.541196
Cleartrip,Air India,AI-2951,13:20,20:30,7h 10m,1 stop,12459,2025-12-28T23:51:12.599682
Cleartrip,Air India,AI-1785,12:00,19:25,7h 25m,1 stop,12459,2025-12-28T23:51:12.658091
Cleartrip,IndiGo,6E-2087,14:40,20:50,6h 10m,1 stop,12475,2025-12-28T23:51:12.718162
Cleartrip,Air India Express,IX-2679,21:10,00:05,2h 55m,Non-stop,12553,2025-12-28T23:51:12.778420
Cleartrip,Air India,AI-2465,14:30,20:55,6h 25m,1 stop,12695,2025-12-28T23:51:12.840995
Cleartrip,Air India,AI-1734,18:25,01:25,,1 stop,12855,2025-12-28T23:51:12.901675
Cleartrip,Air India,AI-531,19:10,01:30,6h 20m,1 stop,12928,2025-12-28T23:51:12.969004
Cleartrip,Air India Express,IX-2174,18:20,01:55,7h 35m,1 stop,12953,2025-12-28T23:51:13.028518
Cleartrip,Air India,AI-2973,20:50,01:40,4h 50m,1 stop,13225,2025-12-28T23:51:13.085693
Cleartrip,Air India,AI-487,16:00,22:15,6h 15m,1 stop,13237,2025-12-28T23:51:13.151015
Cleartrip,Air India,AI-441,17:05,22:15,5h 10m,1 stop,13297,2025-12-28T23:51:13.212408
Cleartrip,IndiGo,6E-2052,12:15,18:15,,1 stop,13404,2025-12-28T23:51:13.276372
Cleartrip,Air India,AI-2899,12:30,18:30,,1 stop,13632,2025-12-28T23:51:13.336848
Cleartrip,IndiGo,6E-6602,06:20,11:30,5h 10m,1 stop,13634,2025-12-28T23:51:13.400606
Cleartrip,IndiGo,6E-2411,06:55,12:40,5h 45m,1 stop,13750,2025-12-28T23:51:13.462199
Cleartrip,Air India,AI-1710,19:00,01:55,6h 55m,1 stop,13757,2025-12-28T23:51:13.519132
Cleartrip,Air India Express,IX-1223,07:35,15:40,8h 5m,1 stop,13893,2025-12-28T23:51:13.576283
Cleartrip,Air India,AI-1740,17:40,22:45,5h 5m,1 stop,13913,2025-12-28T23:51:13.636368
Cleartrip,Air India,AI-2971,16:00,22:45,6h 45m,1 stop,13913,2025-12-28T23:51:13.695120
Cleartrip,SpiceJet,SG-176,19:15,15:20,20h 5m,1 stop,14159,2025-12-28T23:51:13.752273
Cleartrip,Air India Express,IX-1090,13:10,19:10,,1 stop,14409,2025-12-28T23:51:13.821704
Cleartrip,Air India,AI-1702,18:40,23:59,5h 19m,1 stop,14415,2025-12-28T23:51:13.881255
Cleartrip,Air India,AI-2429,07:05,11:45,4h 40m,1 stop,14436,2025-12-28T23:51:13.942849
Cleartrip,Air India,AI-2975,06:25,11:45,5h 20m,1 stop,14436,2025-12-28T23:51:14.000867
Cleartrip,Air India,AI-1745,05:25,11:45,6h 20m,1 stop,14436,2025-12-28T23:51:14.058489
Cleartrip,IndiGo,6E-6789,15:40,21:55,6h 15m,1 stop,14523,2025-12-28T23:51:14.115863
Cleartrip,IndiGo,6E-6614,17:30,23:35,6h 5m,1 stop,14663,2025-12-28T23:51:14.178830
Cleartrip,IndiGo,6E-2425,14:25,20:40,6h 15m,1 stop,14681,2025-12-28T23:51:14.243776
Cleartrip,Air India Express,IX-1081,16:20,23:00,6h 40m,1 stop,14760,2025-12-28T23:51:14.309468
Cleartrip,Air India Express,IX-1251,12:40,19:05,6h 25m,1 stop,14946,2025-12-28T23:51:14.369206
Cleartrip,Air India,AI-2959,07:10,13:25,6h 15m,1 stop,15033,2025-12-28T23:51:14.429850
Cleartrip,Air India Express,IX-1275,05:00,10:50,5h 50m,1 stop,15056,2025-12-28T23:51:14.488200
Cleartrip,Air India,AI-9461,15:00,22:15,7h 15m,1 stop,15142,2025-12-28T23:51:14.546167
Cleartrip,IndiGo,6E-759,16:30,22:05,5h 35m,1 stop,15280,2025-12-28T23:51:14.609607
Cleartrip,Air India Express,IX-1340,18:40,01:55,7h 15m,1 stop,15767,2025-12-28T23:51:14.668346
Cleartrip,IndiGo,6E-2301,05:15,10:20,5h 5m,1 stop,15820,2025-12-28T23:51:14.728420
Cleartrip,Air India Express,IX-1737,06:55,13:00,6h 5m,1 stop,15977,2025-12-28T23:51:14.791763
